Data Caixa;CodO;Credito;CodD;Debito;Extrato; Valor 
29-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;30
30-Mar-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FGW ESFIHAS LTDA ME;37.18
3-Apr-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;FRESTO;41.8
4-Apr-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;27.9
5-Apr-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;29
6-Apr-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;CHURRASCARIA ALDEIA;23
31-May-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Cachoeira Natural;27.9
5-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Cantinho do Leblon;34.65
6-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Bar do Bacana;34.5
7-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Bolados Sucos;25
8-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Marseille Rotisseria;37.98
9-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;Alvarengas Lanchonete;13.45
28-Jun-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;27.9
25-Jul-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;JUVANETE DO AMPARO SAN 25.00;25
25-Jul-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;ALVARENGAS LANCHONETE 32.70;32.7
27-Jul-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;GJP ADMINIST DE HOTEIS;71
5-Sep-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;LANCHONETE LUAR FRAN;21.5
5-Sep-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;PA 2459 CLODOMIRO;25.5
6-Sep-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;35.09
7-Sep-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;36.41
28-Sep-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;ST ETIENNE;40.15
23-Oct-17;20202;Cartao Itau Master;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;58.22
9-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;09/03 ALMANARASHOP iguatemi 70.60;70.6
10-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;10/03 RESTAURANTE NATURAL CA 26.00;26
22-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;22/03 CAMINITO 33.00;33
23-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;23/03 JJRA RESTAURANTE 50.60;50.6
24-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;24/03 PIZZAA 510 20.10;20.1
28-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;28/03 MADUREIRA 46.40;46.4
30-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;30/03 CACHOEIRA NATURAL 24.90;24.9
30-Mar-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;30/03 VIA EMILIA COM DE ALIM 31.00;31
1-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;01/04 FRESTO 32.80;32.8
2-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;02/04 NOVA REPUBLICA OPERADO 20.00;20
4-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;04/04 PIZZA A 510 21.69;21.69
5-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;05/04 PIZZA A 510 18.25;18.25
6-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;06/04 PIZZA A 510 21.10;21.1
7-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;07/04 PIZZA A 510 20.10;20.1
13-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;13/04 DON FABRIZIO 22.57;22.57
15-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;15/04 LA PERGOLETTA 48.95;48.95
18-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;18/04 SANTA MICAELA 36.40;36.4
19-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;19/04 PIZZA A 510 20.37;20.37
24-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;24/04 VILLE GASTROBAR 39.60;39.6
25-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;25/04 PIZZA A 510 15.60;15.6
27-Apr-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;30.8
4-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZAA 510;24.07
5-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RECANTO DA PAMPLONA;37.25
9-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
12-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
13-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;HAMBURGUERIA NACIONAL;66.55
16-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LUAR DA FRANCA;31.25
17-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZAA 510;20.9
18-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;24
19-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ROSIMA ITAIM;19
20-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
23-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Restaurante Natural;27
25-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Boteco SÜo Bento;47.15
30-May-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;REST MAIS SABOR;16.23
2-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS SUCOS;22.2
3-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;REST MAIS SABOR;15.79
8-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;24.8
9-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS SUCOS;21.8
9-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;24.9
10-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;DUE MAESTA RESTAURANTE;20.75
13-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;25.9
15-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
16-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;DON MARIANO;45.54
17-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;IT SUSHI;85.25
17-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LBR COMERCIO DE SUCOS;21.8
20-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;25.9
22-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;19.31
23-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CASARAO DA VILLA RESTA;37.23
23-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;GRILL HALL PAULISTA;38.15
24-Jun-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZAA 510;23.9
1-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIMENTA VERDE ALIMENTO;21.4
4-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA TROPICAL;27
5-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;HAMBURGUINHO;29.8
6-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CASARAO DA VILLA RESTA;33.32
7-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.9
8-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;8.9
8-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;27.9
12-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS SUCOS;21.8
13-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
14-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MAISON TOMBE;61.05
15-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARALVO;37.95
26-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;34.8
27-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;QUINTA DO MARQUES;38.5
28-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAFE NOVA ITAIM;15
28-Jul-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.9
3-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JUANITOS ENPANADAS ART;15.8
4-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MAISON TOMBE;45.7
5-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
8-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BARTOLOMEU BUENO ALIMEN;20
10-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;27.9
11-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MADUREIRA;50.68
19-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE OLA RESEND;20.2
24-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
26-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;NOVA PINHEIROS LANC E;66
29-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ALVARENGAS LANCHONETE;30.5
31-Aug-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;YELLOW GIRAFFE;58.41
1-Sep-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CASARAO DA VILLA RESTA;28.34
13-Sep-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE M SABOR;10.32
14-Sep-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;25.9
16-Sep-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LA PERGOLETTA;43.73
26-Sep-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
3-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA TROPICAL;27
10-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BAR E LANCHONETE PRINC;12
11-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;REST MAIS SABOR;20.63
13-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MADUREIRA;37.73
14-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JORGE RODRIGO RESTAURA;62.43
18-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RASCAL;86.59
20-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
24-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;32.8
25-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.9
27-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS SUCOS;22.2
28-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FERNANDO LUIZ PADOVANI;27.3
31-Oct-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MADUREIRA;38.61
1-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MADUREIRA;44.5
4-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;OGURU SUSHI & BAR;80.85
7-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;29
8-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FERNANDO LUIZ PADOVANI;17.5
10-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARALVO;38.5
11-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;HAMBURGUINHO;33.5
17-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;A CASA - MUSEU DE ARTE;7
17-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAPIM SANTO;92.4
19-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;52.25
21-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ALVARENGAS LANCHONETE;30.75
22-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FERNANDO LUIZ PADOVANI;20.27
22-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.28
23-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.9
24-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FERNANDO LUIZ PADOVANI;17.5
25-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BAR E LANCH ESTRELA FE;60
25-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BEFRESH RESTAURANTE;62.52
27-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;TRATTORIA DO PIERO;20
29-Nov-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAVAS BAR E RESTAURANTE;46.42
1-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;38.9
5-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE M SABOR;28.93
6-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;EZEQUIEL GRAMELICKI LO;22
8-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MC DONALDS RBN;23.5
9-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;38.9
12-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;27
13-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LA PERGOLETTA;46.36
14-Dec-16;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FRESTO;43.8
13-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAMAFEU GOURMET;27
14-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;24.09
15-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FGW ESFIHAS LTDA ME;30.4
15-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PANIFICADORA BIENAL;18.5
16-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;23.9
17-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;HAMBURGUINHO;43
20-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;HAMBURGUINHO;30.8
22-Mar-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510;32.9
7-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ALVARENGAS LANCHONETE;28.75
10-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FGW ESFIHAS LTDA ME;44.6
11-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LUAR DA FRANCA;26
12-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;27.9
13-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;29
14-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MAKIS PLACE;25.19
17-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;27.9
18-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;29.25
19-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;27.9
20-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;AMARAL RESTAURANTE;23.5
20-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;29
24-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CONEXAO ARTE;44
26-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE MANDARINE;49.73
27-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL;30
28-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE NATURAL CA;29
29-Apr-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE VIOLETA;15.7
3-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MADUREIRA;48.79
8-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL 30.00;30
9-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CACHOEIRA NATURAL 30.00;30
10-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;EMPORIO PAX 52.53;52.53
11-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAFE SEVERINO 53.53;53.53
12-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CAFE SEVERINO LTDA 63.04;63.04
12-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;GALETO MANIA 29.00;29
16-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESTAURANTE COSTELINHA 61.05;61.05
18-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ARQUIPELAGO REST BAR 39.42;39.42
20-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;SUSHIMAR 93.50;93.5
21-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ST ETIENNE 36.37;36.37
23-May-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZA A 510 23.90;23.9
10-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Arte e Sabor;26.7
12-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Bolados Sucos;25
13-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Cachoeira Natural;30
14-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Mello Mellao;55.88
16-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;St Etienne;41.23
22-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Praca Sao Lourenco;67.9
26-Jun-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Bolados Sucos;23.1
17-Jul-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;Bolados Sucos;29.8
28-Jul-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JVS CASA DE CHA E PAES;34.9
31-Jul-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;FGW ESFIHAS LTDA ME;11.4
1-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PADARIA NEW DANNY EIRE;28.5
2-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LUAR DA FRANCA;21.4
3-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;REF 43 COMERCIO DE ALIM;25
7-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ST ETIENNE;35.09
8-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ST ETIENNE;35.95
9-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;40.15
10-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;RESERVA GATRONOMICA;18
11-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;35.09
11-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MATIZ CULINARIA CONSCIE;24
12-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MATIZ CULINARIA CONSCIE;24
14-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LANCHONETE LUAR FRAN;26.4
17-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;26.5
18-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BAR PEIXE BOI;32.67
18-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PIZZAA 510;23.9
21-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;25
22-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ST ETIENNE;46.97
23-Aug-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;24.3
9-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BLLACCO ALIMENTACAO E;28
10-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ST ETIENNE;20.9
11-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CANTINHO DO LEBLON;29.15
12-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BIG BEACH;13.5
12-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JOSE A MICELI G GARCIA;25
13-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CONEXAO ARTE;33
13-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MUNDECO;47.6
19-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LBR COMERCIO DE SUCOS;24.3
20-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;40 GRAUS BAR E CHOPERI;40
20-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JARDIM DA PENHA;18.71
20-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;JARDIM DA PENHA;14.4
21-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;INTERCITY PIER VITORIA;18.7
21-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;KAFFA CAFETERIA;30.8
26-Sep-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;UGUE S LANCHONETE;46
1-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;48.95
2-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;26.5
4-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;PRACA SAO LOURENCO;77.91
5-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;ROSALA;30.4
5-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;MARSEILLE ROTISSERIA E;40.65
16-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;26.5
18-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;CANTINHO DO LEBLON;28.1
19-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;26.5
24-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LANCHONETE LUAR FRAN;24.9
25-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LANCHONETE LUAR FRAN;26.7
26-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;BOLADOS;26.5
27-Oct-17;20203;Cartao Itau VISA;40202;Alimentacao Trabalho;LANCHONETE LUAR FRAN;19.5
27-Apr-15;10103;Conta Corrente Itau;40202;Alimentacao Trabalho;RSHOP-SABORES DA -25/04;47
