ID,Code,Report,Account,Level,Parent
51,2010302,Balance Sheet,Dívida com Amigos,Level 4,2010300
52,2010303,Balance Sheet,Parcela de CP de Fin. LP,Level 4,2010300
53,2010304,Balance Sheet,Dívidas Bancárias,Level 4,2010300
54,2020000,Balance Sheet,Passivo Não Circulante,Level 2,2000000
55,2020100,Balance Sheet,Dívidas de Longo Prazo,Level 3,2020000
56,2020101,Balance Sheet,Dívida com Amauri,Level 4,2020100
57,2020102,Balance Sheet,Dívida com Rose,Level 4,2020100
58,2020103,Balance Sheet,Financiamento Viagens,Level 4,2020100
59,2020104,Balance Sheet,Empréstimos Bancários,Level 4,2020100
60,2020105,Balance Sheet,Financiamento de Automóvel,Level 4,2020100
61,2020106,Balance Sheet,Financiamento Imobiliário,Level 4,2020100
62,2030000,Balance Sheet,Patrimônio Líquido,Level 2,2000000
63,2030100,Balance Sheet,Patrimônio Líquido,Level 3,2030000
64,2030101,Balance Sheet,Resultado do Período,Level 4,2030100
65,2030102,Balance Sheet,Lucros/Prejuízos Acumulados,Level 4,2030100
66,2030103,Balance Sheet,Presentes da Família,Level 4,2030100
67,2030104,Balance Sheet,Outros,Level 4,2030100
68,3000000,Income Statement,Entradas,Level 1,NULL
69,3010000,Income Statement,Entradas Operacionais,Level 2,3000000
70,3010100,Income Statement,Remuneração,Level 3,3010000
71,3010101,Income Statement,Salário,Level 4,3010100
72,3010102,Income Statement,Benefícios,Level 4,3010100
73,3010103,Income Statement,Vale Alimentação,Level 4,3010100
74,3010104,Income Statement,Renda Extra,Level 4,3010100
75,3010105,Income Statement,Bônus,Level 4,3010100
76,3010106,Income Statement,Outras Receitas,Level 4,3010100
77,3010200,Income Statement,Outras Receitas,Level 3,3010000
78,3010201,Income Statement,Freelas,Level 4,3010200
79,3010202,Income Statement,Consultorias,Level 4,3010200
80,3010203,Income Statement,Comissões,Level 4,3010200
81,4000000,Income Statement,Despesas,Level 1,NULL
82,4010000,Income Statement,Deduções de Receita,Level 2,4000000
83,4010100,Income Statement,Impostos sobre Receita,Level 3,4010000
84,4010101,Income Statement,Impostos Sobre Renda,Level 4,4010100
85,4020000,Income Statement,Despesas Essenciais,Level 2,4000000
86,4020100,Income Statement,Casa,Level 3,4020000
87,4020101,Income Statement,Aluguel,Level 4,4020100
88,4020102,Income Statement,Condomínio e Água,Level 4,4020100
89,4020103,Income Statement,Energia Elétrica,Level 4,4020100
90,4020104,Income Statement,Telefone,Level 4,4020100
91,4020105,Income Statement,Gás,Level 4,4020100
92,4020106,Income Statement,Manutenção da Casa,Level 4,4020100
93,4020107,Income Statement,IPTU,Level 4,4020100
94,4020108,Income Statement,Vaga de Garagem,Level 4,4020100
95,4020200,Income Statement,Alimentação,Level 3,4020000
96,4020201,Income Statement,Supermercado,Level 4,4020200
97,4020202,Income Statement,Alimentação Trabalho,Level 4,4020200
98,4020203,Income Statement,Lanches e Refeições,Level 4,4020200
99,4020204,Income Statement,Cafés,Level 4,4020200
100,4020300,Income Statement,Veículos & Transporte,Level 3,4020000
101,4020301,Income Statement,Combustível & Óleo,Level 4,4020300
102,4020301,Income Statement,"Serviços, Mecânica & Lavagem",Level 4,4020300
103,4020301,Income Statement,Seguro do Veículo,Level 4,4020300
104,4020301,Income Statement,IPVA e Outros,Level 4,4020300
105,4020301,Income Statement,Multas,Level 4,4020300
106,4020301,Income Statement,Estacionamento,Level 4,4020300
107,4020301,Income Statement,Pedágio,Level 4,4020300
108,4020301,Income Statement,Taxi & Uber,Level 4,4020300
109,4020400,Income Statement,Saúde,Level 3,4020000
110,4020401,Income Statement,Farmácia,Level 4,4020400
111,4020402,Income Statement,Despesas Médicas,Level 4,4020400
112,4020403,Income Statement,Despesas Odontológicas,Level 4,4020400
113,4020404,Income Statement,Outros de Saúde,Level 4,4020400
114,4030000,Income Statement,Despesas Discricionárias,Level 2,4000000
115,4030100,Income Statement,Educação & Cultura,Level 3,4030000
116,4030101,Income Statement,"Festas, Shows & Eventos",Level 4,4030100
117,4030102,Income Statement,"Livros, Revistas & Jornais",Level 4,4030100
118,4030103,Income Statement,Cinema,Level 4,4030100
119,4030104,Income Statement,Educação,Level 4,4030100
120,4030105,Income Statement,Delivery,Level 4,4030100
121,4030106,Income Statement,Almoços e Jantares,Level 4,4030100
122,4030200,Income Statement,Festas,Level 3,4030000
123,4030201,Income Statement,Bares & Bebidas,Level 4,4030200
124,4030202,Income Statement,Balada,Level 4,4030200
125,4030203,Income Statement,Conveniência,Level 4,4030200
126,4030300,Income Statement,Compras Diversas,Level 3,4030000
127,4030301,Income Statement,Roupas,Level 4,4030300
128,4030301,Income Statement,Calçados,Level 4,4030300
129,4030301,Income Statement,Presentes,Level 4,4030300
130,4030400,Income Statement,Viagens,Level 3,4030000
131,4030401,Income Statement,Translado,Level 4,4030400
132,4030402,Income Statement,Hospedagem,Level 4,4030400
133,4030403,Income Statement,Comida & Bebida,Level 4,4030400
134,4030404,Income Statement,Transporte,Level 4,4030400
135,4030405,Income Statement,Outras de Viagens,Level 4,4030400
136,4030500,Income Statement,Outras Despesas Discricionárias,Level 3,4030000
137,4030500,Income Statement,Taxas Bancárias,Level 4,4030500
138,4030500,Income Statement,Outras Despesas,Level 4,4030500
139,4030500,Income Statement,Não Classificado,Level 4,4030500
140,5000000,Income Statement,Não Operacionais,Level 1,NULL
141,5010000,Income Statement,Entradas Não Operacionais,Level 2,5000000
142,5010100,Income Statement,Rendimentos Financeiros,Level 3,5010000
143,5010101,Income Statement,Rendimento de Poupança e Aplicação,Level 4,5010100
144,5020000,Income Statement,Saídas Não Operacionais,Level 2,5000000
145,5020100,Income Statement,Saídas Financeiras,Level 3,5020000
146,5020101,Income Statement,Juros,Level 4,5020100
147,5020102,Income Statement,Impostos Financeiros,Level 4,5020100
148,5020103,Income Statement,Baixas,Level 4,5020100
